text,condition,record_type,Care_Profile
Medial patellar luxation (MPL) Grade II/IV palpated bilaterally.,Mobility Problems,Clinical Notes,medial patellar luxation mpl grade iiiv palpated bilaterally mobility problems clinical notes
"Dog has a large, weeping sore on his neck that came up fast.",Skin Irritations,Owner Observation,dog has a large weeping sore on his neck that came up fast skin irritations owner observation
Histiocytoma present on young dog; monitor for spontaneous regression.,Skin Irritations,Clinical Notes,histiocytoma present on young dog monitor for spontaneous regression skin irritations clinical notes
Rabbit has dandruff concentrated over its shoulders.,Skin Irritations,Owner Observation,rabbit has dandruff concentrated over its shoulders skin irritations owner observation
Prescribe maropitant (Cerenia) for vomiting and recommend bland diet.,Digestive Issues,Clinical Notes,prescribe maropitant cerenia for vomiting and recommend bland diet digestive issues clinical notes
Patient is candidate for Total Ear Canal Ablation and Bulla Osteotomy (TECA-BO) due to end-stage otitis.,Ear Infections,Clinical Notes,patient is candidate for total ear canal ablation and bulla osteotomy tecabo due to endstage otitis ear infections clinical notes
"My dog's stomach is rumbling loudly, and he keeps licking the air.",Digestive Issues,Owner Observation,my dogs stomach is rumbling loudly and he keeps licking the air digestive issues owner observation
Dog has diarrhea that looks like raspberry jam.,Digestive Issues,Owner Observation,dog has diarrhea that looks like raspberry jam digestive issues owner observation
My rabbit's left ear is hanging down lower than the right.,Ear Infections,Owner Observation,my rabbits left ear is hanging down lower than the right ear infections owner observation
"Feline patient exhibits miliary dermatitis pattern; rule out FAD, food allergy, atopy.",Skin Irritations,Clinical Notes,feline patient exhibits miliary dermatitis pattern rule out fad food allergy atopy skin irritations clinical notes
"My dog is scratching constantly, and I found tiny brown bugs crawling on him.",Parasites,Owner Observation,my dog is scratching constantly and i found tiny brown bugs crawling on him parasites owner observation
Emphasize finishing the full course of medication.,Ear Infections,Clinical Notes,emphasize finishing the full course of medication ear infections clinical notes
Advise meticulous cage hygiene and appropriate bedding for rabbits to prevent myiasis.,Parasites,Clinical Notes,advise meticulous cage hygiene and appropriate bedding for rabbits to prevent myiasis parasites clinical notes
"Dog has flea allergy dermatitis, reacts severely to flea saliva.",Parasites,Owner Observation,dog has flea allergy dermatitis reacts severely to flea saliva parasites owner observation
"Dog has small, raised, hairless bumps appearing on his body.",Skin Irritations,Owner Observation,dog has small raised hairless bumps appearing on his body skin irritations owner observation
My dog's ear infection came back shortly after finishing medication.,Ear Infections,Owner Observation,my dogs ear infection came back shortly after finishing medication ear infections owner observation
"Symmetrical non-inflammatory alopecia on flanks; rule out endocrine condition (hypothyroidism, hyperadrenocorticism, sex hormone imbalance).",Skin Irritations,Clinical Notes,symmetrical noninflammatory alopecia on flanks rule out endocrine condition hypothyroidism hyperadrenocorticism sex hormone imbalance skin irritations clinical notes
"My dog has scabies, and the whole family is itchy now.",Parasites,Owner Observation,my dog has scabies and the whole family is itchy now parasites owner observation
Cat has hair loss above the eyes.,Skin Irritations,Owner Observation,cat has hair loss above the eyes skin irritations owner observation
Dermacentor andersoni tick removed. Discuss RMSF/Tularemia/tick paralysis risk.,Parasites,Clinical Notes,dermacentor andersoni tick removed discuss rmsftularemiatick paralysis risk parasites clinical notes
Cat is grooming one specific spot on her leg until it's bald.,Mobility Problems,Owner Observation,cat is grooming one specific spot on her leg until its bald mobility problems owner observation
My dog doesn't lift his legs as high when walking anymore.,Mobility Problems,Owner Observation,my dog doesnt lift his legs as high when walking anymore mobility problems owner observation
"My rabbit has flaky skin and seems very itchy, especially on its back.",Parasites,Owner Observation,my rabbit has flaky skin and seems very itchy especially on its back parasites owner observation
Guinea pig's abdomen feels tight and bloated.,Digestive Issues,Owner Observation,guinea pigs abdomen feels tight and bloated digestive issues owner observation
"Histiocytoma observed on young dog's limb; typically benign, monitor for regression.",Skin Irritations,Clinical Notes,histiocytoma observed on young dogs limb typically benign monitor for regression skin irritations clinical notes
Dog has redness and bumps in the groin area.,Skin Irritations,Owner Observation,dog has redness and bumps in the groin area skin irritations owner observation
"Dog is biting at his hind end, near the tail.",Skin Irritations,Owner Observation,dog is biting at his hind end near the tail skin irritations owner observation
"Rabbit is over-grooming its belly, leaving the skin bare.",Skin Irritations,Owner Observation,rabbit is overgrooming its belly leaving the skin bare skin irritations owner observation
"Lungworm (e.g., Aelurostrongylus abstrusus in cats) suspected based on respiratory signs; Baermann fecal analysis recommended.",Parasites,Clinical Notes,lungworm eg aelurostrongylus abstrusus in cats suspected based on respiratory signs baermann fecal analysis recommended parasites clinical notes
Prescribe anti-diarrheal (kaolin-pectin) for symptomatic relief.,Digestive Issues,Clinical Notes,prescribe antidiarrheal kaolinpectin for symptomatic relief digestive issues clinical notes
My rabbit has an abscess near the ear.,Ear Infections,Owner Observation,my rabbit has an abscess near the ear ear infections owner observation
Pruritus and erythema on ears; topical therapy prescribed.,Skin Irritations,Clinical Notes,pruritus and erythema on ears topical therapy prescribed skin irritations clinical notes
My guinea pig is losing hair and has crusty sores.,Parasites,Owner Observation,my guinea pig is losing hair and has crusty sores parasites owner observation
Kitten has lost fur on its paws.,Skin Irritations,Owner Observation,kitten has lost fur on its paws skin irritations owner observation
Tibial thrust clearly palpable during ambulation.,Mobility Problems,Clinical Notes,tibial thrust clearly palpable during ambulation mobility problems clinical notes
Prescribe strict cage rest (4-6 weeks) and muscle relaxants (methocarbamol) for suspected fibrocartilaginous embolism (FCE).,Mobility Problems,Clinical Notes,prescribe strict cage rest weeks and muscle relaxants methocarbamol for suspected fibrocartilaginous embolism fce mobility problems clinical notes
"Recommend feeding a low-fat, easily digestible prescription diet during recovery from pancreatitis.",Digestive Issues,Clinical Notes,recommend feeding a lowfat easily digestible prescription diet during recovery from pancreatitis digestive issues clinical notes
Perform thorough dental examination to rule out apical abscess or oronasal fistula contributing to signs.,Ear Infections,Clinical Notes,perform thorough dental examination to rule out apical abscess or oronasal fistula contributing to signs ear infections clinical notes
Ensure medication is stored and handled correctly.,Ear Infections,Clinical Notes,ensure medication is stored and handled correctly ear infections clinical notes
